name,year,week,team,opponent,attempts,yds,tds,fl,run,game
chris carson,2017,1,SEA,GNB,6,39,0,0,53,1
chris carson,2017,2,SEA,SFO,20,93,0,0,62,2
chris carson,2017,3,SEA,TEN,11,34,0,0,56,3
chris carson,2017,4,SEA,IND,12,42,0,0,51,4
chris carson,2017,5,SEA,LAR,0,0,0,0,0,5
chris carson,2017,7,SEA,NYG,0,0,0,0,0,6
chris carson,2017,8,SEA,HOU,0,0,0,0,0,7
chris carson,2017,9,SEA,WAS,0,0,0,0,0,8
chris carson,2017,10,SEA,ARI,0,0,0,0,0,9
chris carson,2017,11,SEA,ATL,0,0,0,0,0,10
chris carson,2017,12,SEA,SFO,0,0,0,0,0,11
chris carson,2017,13,SEA,PHI,0,0,0,0,0,12
chris carson,2017,14,SEA,JAX,0,0,0,0,0,13
chris carson,2017,15,SEA,LAR,0,0,0,0,0,14
chris carson,2017,16,SEA,DAL,0,0,0,0,0,15
chris carson,2017,17,SEA,ARI,0,0,0,0,0,16
chris carson,2018,1,SEA,DEN,7,51,0,1,44,17
chris carson,2018,2,SEA,CHI,6,24,0,0,29,18
chris carson,2018,3,SEA,DAL,32,102,1,0,74,19
chris carson,2018,4,SEA,ARI,0,0,0,0,0,20
chris carson,2018,5,SEA,LAR,19,116,0,0,58,21
chris carson,2018,6,SEA,LVR,14,59,0,0,42,22
chris carson,2018,8,SEA,DET,25,105,1,0,67,23
chris carson,2018,9,SEA,LAC,8,40,0,0,12,24
chris carson,2018,10,SEA,LAR,0,0,0,0,0,25
chris carson,2018,11,SEA,GNB,17,83,1,1,43,26
chris carson,2018,12,SEA,CAR,16,55,1,0,52,27
chris carson,2018,13,SEA,SFO,13,69,0,0,59,28
chris carson,2018,14,SEA,MIN,22,90,1,0,53,29
chris carson,2018,15,SEA,SFO,22,119,1,0,52,30
chris carson,2018,16,SEA,KAN,27,116,2,0,54,31
chris carson,2018,17,SEA,ARI,19,122,1,0,51,32
chris carson,2019,1,SEA,CIN,15,46,1,1,76,33
