yr,team,att,yds allowed,ypc
2015,MIA,28.1,114.8,4.085409253
2015,SFO,26.9,112,4.163568773
2015,NOR,22.8,114.8,5.035087719
2015,PHI,25.8,118.7,4.600775194
2015,LAC,22.4,111.3,4.96875
2015,DAL,24.4,105.3,4.31557377
2015,ATL,22.4,90.9,4.058035714
2015,NYG,24.1,104.8,4.348547718
2015,JAX,23.9,87.6,3.665271967
2015,CHI,22.9,97.4,4.253275109
2015,IND,24.4,101.6,4.163934426
2015,LAR,23.8,94.4,3.966386555
2015,LVR,22.1,87,3.936651584
2015,CLE,25.1,115.1,4.585657371
2015,DET,23.1,94,4.069264069
2015,WAS,21.8,102.4,4.697247706
2015,BUF,20.9,94.7,4.531100478
2015,TAM,25.7,90.5,3.521400778
2015,GNB,21.6,89.5,4.143518519
2015,CIN,18.4,77.6,4.217391304
2015,CAR,19.3,73.1,3.787564767
2015,HOU,20.6,86.3,4.189320388
2015,ARI,18.9,70.3,3.71957672
2015,NWE,22.1,86.8,3.92760181
2015,MIN,22.1,93.8,4.244343891
2015,DEN,22.2,68.6,3.09009009
2015,BAL,22.6,89.9,3.977876106
2015,TEN,24.3,94.8,3.901234568
2015,KAS,20.4,77.8,3.81372549
2015,PIT,20.3,77.1,3.798029557
2015,NYJ,19.3,64.4,3.336787565
2015,SEA,18.5,65.1,3.518918919
2016,SFO,29.3,145.3,4.959044369
2016,CLE,26.9,122.2,4.542750929
2016,NOR,21.2,89.1,4.202830189
2016,WAS,23.8,107.8,4.529411765
2016,BUF,24.8,111.4,4.491935484
2016,IND,22.6,108.8,4.814159292
2016,PIT,20.8,90.7,4.360576923
2016,ATL,18.9,81.1,4.291005291
2016,LAC,21.4,82.3,3.845794393
2016,LVR,23.6,106.8,4.525423729
2016,TAM,22.8,96.3,4.223684211
2016,CHI,23.6,104.2,4.415254237
2016,DEN,25.8,104.1,4.034883721
2016,NYJ,22.9,91.3,3.986899563
2016,CIN,21.4,95.1,4.443925234
2016,MIA,22.9,104.9,4.580786026
2016,LAR,22.6,90.4,4
2016,KAS,23.3,103.2,4.429184549
2016,HOU,21.4,81.4,3.803738318
2016,JAX,23.4,88.2,3.769230769
2016,GNB,20.6,84.3,4.09223301
2016,PHI,20.7,87.1,4.207729469
2016,DET,20.9,91.9,4.397129187
2016,BAL,21.1,80.6,3.819905213
2016,MIN,22.3,92.5,4.147982063
2016,CAR,20.5,78.2,3.814634146
2016,SEA,22.9,78.6,3.43231441
2016,NYG,22.4,81.8,3.651785714
2016,DAL,18.4,74.2,4.032608696
2016,ARI,21.3,70,3.286384977
2016,TEN,19,72.4,3.810526316
2016,NWE,19.7,70.6,3.583756345
2017,BUF,25,112.3,4.492
2017,LAR,23.2,107.1,4.61637931
2017,WAS,24.9,112,4.497991968
2017,TAM,22.8,95.1,4.171052632
2017,CIN,26.9,108,4.014869888
2017,DET,23.3,97.6,4.188841202
2017,IND,26.6,105.1,3.95112782
2017,PIT,21.3,94.7,4.44600939
2017,NYJ,25.1,92.3,3.677290837
2017,MIA,23,94.6,4.113043478
2017,NYG,25.1,105.9,4.219123506
2017,SFO,25.3,97,3.833992095
2017,BAL,24.3,98.6,4.057613169
2017,GNB,25.5,98.3,3.854901961
2017,LAC,23.3,112.3,4.819742489
2017,LVR,23.7,97.3,4.105485232
2017,CLE,25.1,83.1,3.310756972
2017,NOR,21.2,85.8,4.047169811
2017,NWE,20.4,95.8,4.696078431
2017,KAS,23.9,99.3,4.154811715
2017,HOU,23.3,91.7,3.935622318
2017,CHI,23.6,97.8,4.144067797
2017,JAX,22.3,95,4.260089686
2017,SEA,23.3,93,3.991416309
